DateTime,Date,Lot,Wfr,Slot,LGPT,Tool,iARC,COAT,CHUCK,PEB,DVLP,MP,Site,Xmm,Ymm,Rmm,Target,LS,US,MP1,DEV,MASK
2023-08-30 6:31:08.08+00:00,8/30/2023,23127034,16,9,LP101,CD103,CV202,CT1,STG1,PEB14,DVLP3,MP1,1,24.5,0,24.5,65,62,68,66,JETHROPUGH,M219-638
2023-08-30 6:31:08.08+00:00,8/30/2023,23127034,16,9,LP101,CD103,CV202,CT1,STG1,PEB14,DVLP3,MP1,2,0,24.5,24.5,65,62,68,65.8,JETHROPUGH,M219-638
2023-08-30 6:31:08.08+00:00,8/30/2023,23127034,16,9,LP101,CD103,CV202,CT1,STG1,PEB14,DVLP3,MP1,3,-24.5,-24.5,34.6,65,62,68,66,JETHROPUGH,M219-638
2023-08-30 6:31:08.08+00:00,8/30/2023,23127034,16,9,LP101,CD103,CV202,CT1,STG1,PEB14,DVLP3,MP1,4,49,24.5,54.8,65,62,68,65.3,JETHROPUGH,M219-638
2023-08-30 6:31:08.08+00:00,8/30/2023,23127034,16,9,LP101,CD103,CV202,CT1,STG1,PEB14,DVLP3,MP1,5,24.5,-49,54.8,65,62,68,66.1,JETHROPUGH,M219-638
2023-08-30 6:31:08.08+00:00,8/30/2023,23127034,16,9,LP101,CD103,CV202,CT1,STG1,PEB14,DVLP3,MP1,6,-49,-49,69.3,65,62,68,65.9,JETHROPUGH,M219-638
2023-08-30 6:31:08.08+00:00,8/30/2023,23127034,16,9,LP101,CD103,CV202,CT1,STG1,PEB14,DVLP3,MP1,7,-49,49,69.3,65,62,68,65.7,JETHROPUGH,M219-638
2023-08-30 6:31:08.08+00:00,8/30/2023,23127034,16,9,LP101,CD103,CV202,CT1,STG1,PEB14,DVLP3,MP1,8,0,-74.5,74.5,65,62,68,65.9,JETHROPUGH,M219-638
2023-08-30 6:31:08.08+00:00,8/30/2023,23127034,16,9,LP101,CD103,CV202,CT1,STG1,PEB14,DVLP3,MP1,9,0,74.5,74.5,65,62,68,65.4,JETHROPUGH,M219-638
2023-08-30 6:31:08.08+00:00,8/30/2023,23127034,16,9,LP101,CD103,CV202,CT1,STG1,PEB14,DVLP3,MP1,10,-73.5,24.5,77.5,65,62,68,65.9,JETHROPUGH,M219-638
