DateTime,Date,Lot,Wfr,Slot,LGPT,Tool,ARC,COAT,CHUCK,PEB,DVLP,MP,Site,Xmm,Ymm,Rmm,Target,LS,US,MP1,DEV,RETICLE
00:25:07,2023-08-30,23127034,16,9,LP101,CD103,CV202,CT1,STG1,PEB14,DVLP3,MP1,1,24.5,0,24.5,65,62,68,66.00,JETHROPUGH,M219-638
00:25:07,2023-08-30,23127034,16,9,LP101,CD103,CV202,CT1,STG1,PEB14,DVLP3,MP1,2,0,24.5,24.5,65,62,68,65.80,JETHROPUGH,M219-638
00:25:07,2023-08-30,23127034,16,9,LP101,CD103,CV202,CT1,STG1,PEB14,DVLP3,MP1,3,-24.5,-24.5,34.6,65,62,68,66.00,JETHROPUGH,M219-638
00:25:07,2023-08-30,23127034,16,9,LP101,CD103,CV202,CT1,STG1,PEB14,DVLP3,MP1,4,49,24.5,54.8,65,62,68,65.30,JETHROPUGH,M219-638
00:25:07,2023-08-30,23127034,16,9,LP101,CD103,CV202,CT1,STG1,PEB14,DVLP3,MP1,5,24.5,-49,54.8,65,62,68,66.10,JETHROPUGH,M219-638
00:25:07,2023-08-30,23127034,16,9,LP101,CD103,CV202,CT1,STG1,PEB14,DVLP3,MP1,6,-49,-49,69.3,65,62,68,65.90,JETHROPUGH,M219-638
00:25:07,2023-08-30,23127034,16,9,LP101,CD103,CV202,CT1,STG1,PEB14,DVLP3,MP1,7,-49,49,69.3,65,62,68,65.70,JETHROPUGH,M219-638
00:25:07,2023-08-30,23127034,16,9,LP101,CD103,CV202,CT1,STG1,PEB14,DVLP3,MP1,8,0,-74.5,74.5,65,62,68,65.90,JETHROPUGH,M219-638
00:25:07,2023-08-30,23127034,16,9,LP101,CD103,CV202,CT1,STG1,PEB14,DVLP3,MP1,9,0,74.5,74.5,65,62,68,65.40,JETHROPUGH,M219-638
00:25:07,2023-08-30,23127034,16,9,LP101,CD103,CV202,CT1,STG1,PEB14,DVLP3,MP1,10,-73.5,24.5,77.5,65,62,68,65.90,JETHROPUGH,M219-638
00:25:07,2023-08-30,23127034,16,9,LP101,CD103,CV202,CT1,STG1,PEB14,DVLP3,MP1,11,49,74.5,89.2,65,62,68,65.90,JETHROPUGH,M219-638
00:25:07,2023-08-30,23127034,16,9,LP101,CD103,CV202,CT1,STG1,PEB14,DVLP3,MP1,12,-98,0,98,65,62,68,65.90,JETHROPUGH,M219-638
00:25:07,2023-08-30,23127034,16,9,LP101,CD103,CV202,CT1,STG1,PEB14,DVLP3,MP1,13,98,0,98,65,62,68,65.60,JETHROPUGH,M219-638
00:25:07,2023-08-30,23127034,16,9,LP101,CD103,CV202,CT1,STG1,PEB14,DVLP3,MP1,14,-24.5,-99,102,65,62,68,66.20,JETHROPUGH,M219-638
00:25:07,2023-08-30,23127034,16,9,LP101,CD103,CV202,CT1,STG1,PEB14,DVLP3,MP1,15,-24.5,99,102,65,62,68,65.90,JETHROPUGH,M219-638
00:25:07,2023-08-30,23127034,16,9,LP101,CD103,CV202,CT1,STG1,PEB14,DVLP3,MP1,16,73.5,-74.5,104.7,65,62,68,66.00,JETHROPUGH,M219-638
00:25:07,2023-08-30,23127034,16,9,LP101,CD103,CV202,CT1,STG1,PEB14,DVLP3,MP1,17,49,-99,110.5,65,62,68,65.70,JETHROPUGH,M219-638
00:25:07,2023-08-30,23127034,16,9,LP101,CD103,CV202,CT1,STG1,PEB14,DVLP3,MP1,18,-98,-74.5,123.1,65,62,68,65.20,JETHROPUGH,M219-638
